id_pais,anio,inmigrantes,emigrantes
NIU,1970,0.0,0.0
NFK,1970,0.0,0.0
MNP,1970,0.0,0.0
NOR,1970,200.0,237.0
OMN,1970,3.0,2.0
PAK,1970,67.0,0.0
PLW,1970,0.0,0.0
PAN,1970,43.0,456.0
PNG,1970,0.0,7.0
PRY,1970,205465.0,24563.0
PER,1970,4992.0,3877.0
PHL,1970,61.0,113.0
POL,1970,83162.0,4.0
PRT,1970,24930.0,144.0
PRI,1970,14.0,392.0
QAT,1970,2.0,45.0
REU,1970,8.0,1.0
ROU,1970,3635.0,0.0
RUS,1970,23807.0,0.0
RWA,1970,0.0,2.0
SHN,1970,20.0,1.0
SPM,1970,0.0,0.0
WSM,1970,0.0,4.0
SMR,1970,3.0,0.0
STP,1970,0.0,0.0
SAU,1970,378.0,0.0
SEN,1970,2.0,9.0
SRB,1970,0.0,0.0
SCG,1970,12822.0,16.0
SYC,1970,0.0,0.0
SLE,1970,0.0,9.0
SGP,1970,8.0,0.0
SVK,1970,1902.0,1.0
SVN,1970,5511.0,1.0
SLB,1970,0.0,1.0
SOM,1970,1.0,0.0
ZAF,1970,44.0,672.0
ESP,1970,547743.0,20804.0
LKA,1970,3.0,0.0
KNA,1970,0.0,0.0
LCA,1970,8.0,1.0
VCT,1970,1.0,0.0
SDN,1970,1.0,0.0
SUR,1970,16.0,275.0
SWZ,1970,0.0,11.0
SWE,1970,507.0,620.0
CHE,1970,1588.0,541.0
SYR,1970,15987.0,3.0
TWN,1970,864.0,0.0
TJK,1970,3.0,0.0
TZA,1970,2.0,5.0
THA,1970,15.0,0.0
TLS,1970,0.0,0.0
TGO,1970,1.0,69.0
TKL,1970,0.0,0.0
TON,1970,6.0,0.0
TTO,1970,43.0,40.0
TUN,1970,10.0,3.0
TUR,1970,6741.0,233.0
TKM,1970,5.0,0.0
TCA,1970,0.0,0.0
TUV,1970,0.0,0.0
UGA,1970,1.0,0.0
UKR,1970,9488.0,0.0
ARE,1970,3.0,2.0
GBR,1970,5654.0,319.0
USA,1970,8686.0,55325.0
URY,1970,83443.0,23013.0
UZB,1970,40.0,0.0
VUT,1970,4.0,2.0
VEN,1970,329.0,3827.0
VNM,1970,15.0,0.0
VIR,1970,0.0,0.0
VGB,1970,0.0,0.0
WLF,1970,0.0,0.0
PSE,1970,117.0,73.0
YEM,1970,6.0,38.0
ZMB,1970,1.0,0.0
ZWE,1970,2.0,68.0
AFG,1980,13.0,0.0
ALB,1980,45.0,0.0
DZA,1980,0.0,0.0
ASM,1980,0.0,0.0
AND,1980,7.0,6.0
AGO,1980,0.0,0.0
AIA,1980,0.0,0.0
ATG,1980,0.0,3.0
ARM,1980,446.0,0.0
ABW,1980,0.0,8.0
AUS,1980,0.0,8783.0
AUT,1980,9066.0,564.0
AZE,1980,9.0,0.0
BHS,1980,0.0,18.0
BHR,1980,3.0,18.0
BGD,1980,3.0,0.0
BRB,1980,0.0,34.0
BLR,1980,22.0,0.0
BEL,1980,1825.0,495.0
BLZ,1980,0.0,8.0
BEN,1980,0.0,5.0
BMU,1980,0.0,10.0
BTN,1980,0.0,0.0
BOL,1980,119671.0,14647.0
BIH,1980,146.0,3.0
BWA,1980,0.0,0.0
BRA,1980,43698.0,26427.0
BRN,1980,1.0,0.0
BGR,1980,563.0,10.0
BFA,1980,0.0,0.0
BDI,1980,0.0,1.0
KHM,1980,5.0,0.0
CMR,1980,0.0,6.0
CAN,1980,4.0,2992.0
CPV,1980,0.0,6.0
CYM,1980,0.0,1.0
CAF,1980,0.0,0.0
TCD,1980,0.0,2.0
CHI,1980,0.0,0.0
CHL,1980,217368.0,18862.0
CHN,1980,7288.0,6.0
COL,1980,246.0,1730.0
COM,1980,0.0,0.0
COD,1980,0.0,27.0
COG,1980,0.0,0.0
COK,1980,0.0,0.0
CRI,1980,1.0,429.0
CIV,1980,0.0,14.0
HRV,1980,7708.0,0.0
CUB,1980,7.0,206.0
CYP,1980,20.0,45.0
CZE,1980,6204.0,4.0
DNK,1980,562.0,825.0
DJI,1980,0.0,0.0
DMA,1980,0.0,0.0
DOM,1980,6.0,1502.0
ECU,1980,16.0,1563.0
EGY,1980,1.0,36.0
SLV,1980,0.0,135.0
GNQ,1980,0.0,0.0
ERI,1980,0.0,0.0
EST,1980,102.0,0.0
ETH,1980,0.0,0.0
FRO,1980,0.0,6.0
FLK,1980,0.0,7.0
FJI,1980,0.0,1.0
FIN,1980,233.0,190.0
FRA,1980,9787.0,9699.0
GUF,1980,0.0,20.0
PYF,1980,0.0,4.0
GAB,1980,0.0,1.0
GMB,1980,0.0,0.0
GEO,1980,15.0,0.0
DEU,1980,24323.0,5144.0
GHA,1980,0.0,0.0
GIB,1980,5.0,9.0
GRC,1980,4921.0,238.0
GRL,1980,0.0,1.0
GRD,1980,0.0,0.0
GLP,1980,0.0,3.0
GUM,1980,0.0,0.0
GTM,1980,0.0,320.0
GIN,1980,0.0,5.0
GNB,1980,0.0,0.0
GUY,1980,2.0,20.0
HTI,1980,0.0,5.0
HND,1980,0.0,40.0
HKG,1980,51.0,0.0
HUN,1980,5373.0,208.0
ISL,1980,11.0,2.0
IND,1980,434.0,0.0
IDN,1980,38.0,15.0
IRN,1980,125.0,0.0
IRQ,1980,19.0,11.0
IRL,1980,206.0,107.0
IMN,1980,0.0,0.0
ISR,1980,1562.0,1243.0
ITA,1980,487003.0,16981.0
JAM,1980,0.0,10.0
JPN,1980,7727.0,173.0
JOR,1980,249.0,6.0
KAZ,1980,106.0,0.0
KEN,1980,0.0,6.0
KIR,1980,0.0,0.0
PRK,1980,1065.0,2.0
KOR,1980,3417.0,8.0
XKX,1980,0.0,0.0
KWT,1980,9.0,11.0
KGZ,1980,3.0,0.0
LAO,1980,80.0,0.0
LVA,1980,251.0,0.0
LBN,1980,5346.0,5.0
LSO,1980,0.0,28.0
LBR,1980,0.0,0.0
LBY,1980,0.0,2.0
LIE,1980,18.0,0.0
LTU,1980,4465.0,0.0
LUX,1980,30.0,25.0
MAC,1980,4.0,0.0
MKD,1980,1038.0,5.0
MDG,1980,0.0,1.0
MWI,1980,0.0,5.0
MYS,1980,10.0,5.0
MDV,1980,0.0,0.0
MLI,1980,0.0,0.0
MLT,1980,9.0,0.0
MHL,1980,0.0,0.0
MTQ,1980,2.0,3.0
MRT,1980,0.0,0.0
MUS,1980,0.0,0.0
MYT,1980,0.0,0.0
MEX,1980,7.0,6004.0
FSM,1980,0.0,5.0
MDA,1980,17.0,0.0
MCO,1980,6.0,35.0
MNG,1980,0.0,0.0
MNE,1980,0.0,0.0
MSR,1980,0.0,0.0
MAR,1980,0.0,0.0
MOZ,1980,0.0,14.0
MMR,1980,4.0,16.0
