id_sede,nombre
ETAIL,Sección Cultural
ETAIL,Jefe de Cancillería
ETAIL,Sección Política
ETRIA,"Asuntos Nucleares (OIEA, CTBTO, Zangger C., NSG)"
ETRIA,Asuntos ONUDD
ETRIA,Sección Comercial
ETRIA,Asuntos ONUAEE
ETRIA,Sección Bilateral
ETRIA,Sección de Administración
ETRIA,Sección Cultural
ETRIA,Sección de Cooperación Jurídica
ETRIA,Asuntos ONUDI
ETRIA,Sección de DDHH y Género
ETRIA,Sección Consular
ETRIN,Sección
ETUNE,Asuntos Culturales
ETUNE,Sección Consular
ETUNE,Sección Económica y Comercial
ETUNE,Sección Política
ETUNE,Cooperación Internacional
ETUNE,Prensa
ETUNE,Jefe de Cancillería
ETURQ,Agregada para Asuntos Administrativos
ETURQ,Sección Cultural
ETURQ,Sección Consular
ETURQ,Sección Económica y Comercial
EUCRA,Sección Cultural
EUCRA,Sección Consular
EUCRA,Sección Política
EUCRA,Sección Económica y Comercial
EUNGR,Sección Administrativa
EUNGR,Jefe de Cancillería
EUNGR,Sección Política
EUNGR,Sección Consular
EUNGR,Sección Cultural
EURUG,Sección Cultural
EURUG,Jefe de Cancillería
EURUG,Sección Comercial
EURUG,Sección Política
EVENE,Sección Administrativa
EVENE,Sección Política
EVENE,Sección Económica y Comercial
EVENE,Sección Consular
EVENE,Sección Cultural
EVIET,Sección Consular
EVIET,Sección Prensa y Cultura
EVIET,Sección Política y Cooperación
EVIET,"Sección Económica, Comercial y de Inversiones"
