,pais,sede,red_social,url
113,Jamaica,EJAMA,facebook,https://www.facebook.com/argentinaenjamaica/
114,Jamaica,EJAMA,twitter,https://twitter.com/argenjamaica
115,Japan,EJAPO,facebook,https://www.facebook.com/argjapon/?ref=bookmarks
116,Kenya,EKENY,facebook,www.facebook.com/argentinaenkenia
117,Kenya,EKENY,instagram,https://www.instagram.com/argenkenya/
118,"Korea, Rep.",ECORE,facebook,https://www.facebook.com/argentinaencorea/
119,"Korea, Rep.",ECORE,instagram,https://www.instagram.com/embajadaargentinaencorea1/?hl=es
120,Kuwait,EKUWA,facebook,www.facebook.com/argentinaenkuwait
121,Lebanon,ELBNO,facebook,https://www.facebook.com/argentinaenlibano
122,Malaysia,EMSIA,facebook,https://www.facebook.com/argentinaenmalasia
123,Mexico,EMEXI,facebook,https://www.facebook.com/argenmexico/
124,Mexico,EMEXI,instagram,https://www.instagram.com/embargenmexico/
125,Mexico,EMEXI,twitter,https://twitter.com/@argenmexico
126,Mexico,EMEXI,youtube,https://www.youtube.com/user/embaargenmx
127,Morocco,EMARR,instagram,https://www.instagram.com/marruecos.embajada/
128,Morocco,EMARR,twitter,https://twitter.com/argmarruecos
129,Mozambique,EMOZA,facebook,https://www.facebook.com/argentinaenmozambique/
130,Netherlands,EPBAJ,facebook,https://www.facebook.com/argenpaisesbajos/
131,Netherlands,EPBAJ,twitter,https://twitter.com/argentinaenpb
132,Nigeria,ENIGE,facebook,https://www.facebook.com/argentinaennigeria/
133,Nigeria,ENIGE,instagram,https://www.instagram.com/embargennigeria/?igshid=f0laoeu8lhv8
134,Norway,ENORU,facebook,https://www.facebook.com/argentinaennoruega/
135,Norway,ENORU,instagram,https://www.instagram.com/argennoruega/
136,Pakistan,EPAKI,twitter,https://twitter.com/embajadadearge1
137,Paraguay,CCEST,facebook,https://www.facebook.com/argenciudaddeleste/
138,Paraguay,CCEST,instagram,https://www.instagram.com/argenciudaddeleste
139,Paraguay,EPARA,facebook,https://www.facebook.com/embajada.paraguay
140,Paraguay,EPARA,twitter,https://twitter.com/argenparaguay_
141,Peru,EPERU,facebook,https://www.facebook.com/argentinaenperu
142,Peru,EPERU,twitter,https://twitter.com/emb_arg_peru
143,Philippines,EFILI,facebook,https://www.facebook.com/argentinaenfilipinas
144,Philippines,EFILI,instagram,https://www.instagram.com/argentinaenfilipinas/
145,Philippines,EFILI,twitter,https://twitter.com/argentinaenfili
146,Poland,EPOLO,facebook,https://www.facebook.com/embajada-de-la-rep%c3%bablica-argentina-en-polonia-1726942037398853/
147,Romania,ERUMA,facebook,https://www.facebook.com/argentinaenrumania
148,Romania,ERUMA,instagram,https://www.instagram.com/argentinaenrumania
149,Russian Federation,EFRUS,facebook,https://www.facebook.com/embajadaargentinaenmoscu
