,País,Sede,Red Social,URL
158,REPÚBLICA  DOMINICANA,EDOMI,Facebook,https://es-la.facebook.com/ArgentinaEnRepublicaDominicana/
159,REPÚBLICA  FEDERAL  DE  ALEMANIA,CBONN,Facebook,https://www.facebook.com/ConsuladoArgentinoenBonn
160,REPÚBLICA  FEDERAL  DE  ALEMANIA,CBONN,Instagram,http://www.instagram.com/consulado.argentino.bonn
161,REPÚBLICA  FEDERAL  DE  ALEMANIA,EALEM,Facebook,https://www.facebook.com/ArgEnAlemania/
162,REPÚBLICA  FEDERAL  DE  NIGERIA,ENIGE,Facebook,https://www.facebook.com/ArgentinaEnNigeria/
163,REPÚBLICA  FEDERAL  DE  NIGERIA,ENIGE,Instagram,https://www.instagram.com/embargennigeria/?igshid=f0laoeu8lhv8
164,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CALEG,Facebook,https://www.facebook.com/ArgentinaEnPortoAlegre/
165,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CALEG,Instagram,https://www.instagram.com/argenportoalegre/
166,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CALEG,Twitter,https://twitter.com/ArgPortoAlegre
167,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CBELO,Facebook,https://www.facebook.com/ArgentinaEnBeloHorizonte/
168,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CBELO,Instagram,https://www.instagram.com/consgralbelo/
169,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CBELO,Twitter,https://twitter.com/consgralbelo
170,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CCURI,Facebook,https://www.facebook.com/ArgEnCuritiba/
171,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CCURI,Instagram,https://instagram.com/argEncuritiba
172,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CCURI,Twitter,https://twitter.com/ARGenCuri
173,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CFDIG,Facebook,https://www.facebook.com/ArgentinaEnFozDeIguazu
174,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CFDIG,Instagram,https://www.instagram.com/argentinaenfoz/
175,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CFDIG,Twitter,https://twitter.com/argentinaenfoz
176,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CFLOR,Facebook,https://www.facebook.com/cflor.mrecic.gov.ar
177,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CRECI,Facebook,https://www.facebook.com/ArgentinaEnBrasilRecife
178,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CRECI,Instagram,https://www.instagram.com/consuladoargentinorecife
179,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CRIOJ,Facebook,https://www.facebook.com/ArgentinaEnRiodeJaneiro/
